      dNch/deta       Tch[MeV]      dVdy[fm3]        Vc[fm3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi          K*/pi  omega(782)/pi         K*0/K-         f0/K*0         f0/pi+
        22.9813        0.16785        55.1552        165.466       0.830654       0.154665     0.00469015      0.0192418      0.0694866    0.000663826      0.0349048      0.0507627       0.119185       0.323302       0.246525      0.0123271
        24.5414       0.167679        58.8994        176.698       0.835073        0.15544     0.00474393      0.0193811      0.0693906    0.000677943      0.0350304      0.0509521       0.118917       0.322884       0.245045      0.0122985
        26.2074       0.167508        62.8978        188.693       0.839665       0.156236     0.00479821      0.0195286      0.0692841     0.00069221      0.0351565       0.051147       0.118651       0.322461       0.243555      0.0122703
        27.9865       0.167338        67.1676        201.503       0.844427       0.157054     0.00485304      0.0196843      0.0691677    0.000706643      0.0352832      0.0513473       0.118386       0.322032       0.242055      0.0122423
        29.8863       0.167167        71.7272        215.182       0.849357       0.157893     0.00490848      0.0198478       0.069042    0.000721257      0.0354107      0.0515528       0.118123       0.321598       0.240547      0.0122145
        31.9152       0.166996        76.5964        229.789       0.854449       0.158752     0.00496452      0.0200192      0.0689076    0.000736058      0.0355388      0.0517636        0.11786       0.321157        0.23903      0.0121868
        34.0817       0.166825        81.7961        245.388       0.859697       0.159632     0.00502118       0.020198       0.068765     0.00075105      0.0356676      0.0519791       0.117599       0.320712       0.237506      0.0121593
        36.3953       0.166654        87.3488        262.046       0.865092        0.16053     0.00507841      0.0203841      0.0686149    0.000766232      0.0357969      0.0521991       0.117338       0.320261       0.235978       0.012132
         38.866       0.166484        93.2785        279.835       0.870625       0.161445     0.00513616      0.0205768      0.0684577    0.000781593      0.0359265      0.0524231       0.117079       0.319806       0.234448      0.0121048
        41.5044       0.166313        99.6106        298.832       0.876283       0.162376     0.00519435      0.0207759      0.0682939    0.000797121      0.0360561      0.0526505        0.11682       0.319346       0.232919      0.0120778
        44.3219       0.166142        106.373        319.118       0.882052        0.16332     0.00525288      0.0209806       0.068124    0.000812791      0.0361852      0.0528806       0.116562       0.318881       0.231393      0.0120509
        47.3307       0.165971        113.594        340.781       0.887916       0.164276      0.0053116      0.0211903      0.0679485    0.000828573      0.0363135      0.0531128       0.116306       0.318413       0.229876      0.0120242
        50.5438       0.165801        121.305        363.915       0.893857       0.165239     0.00537035      0.0214042       0.067768    0.000844431      0.0364404       0.053346        0.11605       0.317941        0.22837      0.0119977
        53.9749        0.16563         129.54        388.619       0.899854       0.166207     0.00542894      0.0216214      0.0675829    0.000860318      0.0365652      0.0535795       0.115797       0.317466        0.22688      0.0119713
         57.639       0.165459        138.334        415.001       0.905884       0.167177     0.00548714       0.021841      0.0673936    0.000876178      0.0366874       0.053812       0.115545       0.316988       0.225412      0.0119453
        61.5518       0.165288        147.724        443.173       0.911923       0.168144      0.0055447      0.0220619      0.0672007    0.000891951       0.036806      0.0540426       0.115295       0.316508        0.22397      0.0119194
        65.7302       0.165118        157.752        473.257       0.917945       0.169105     0.00560136      0.0222828      0.0670047    0.000907564      0.0369204        0.05427       0.115048       0.316026       0.222559      0.0118939
        70.1922       0.164947        168.461        505.384       0.923922       0.170056     0.00565683      0.0225026      0.0668059    0.000922942      0.0370296      0.0544929       0.114804       0.315544       0.221185      0.0118688
        74.9572       0.164776        179.897        539.692       0.929824       0.170991     0.00571078        0.02272      0.0666049    0.000937999      0.0371329        0.05471       0.114563       0.315061       0.219852      0.0118441
        80.0457       0.164605         192.11        576.329       0.935623       0.171907     0.00576289      0.0229335      0.0664021    0.000952646      0.0372293        0.05492       0.114326       0.314579       0.218567      0.0118198
        85.4795       0.164434        205.151        615.453       0.941287       0.172799     0.00581283      0.0231417       0.066198    0.000966791      0.0373178      0.0551215       0.114094       0.314098       0.217334       0.011796
        91.2823       0.164264        219.077        657.232       0.946787       0.173661     0.00586028      0.0233433      0.0659929     0.00098034      0.0373977      0.0553133       0.113866       0.313618       0.216158      0.0117727
        97.4789       0.164093        233.949        701.848       0.952092        0.17449      0.0059049      0.0235368      0.0657873    0.000993197       0.037468      0.0554941       0.113642       0.313141       0.215044        0.01175
        104.096       0.163922        249.831        749.493       0.957175       0.175282     0.00594637       0.023721      0.0655815     0.00100527       0.037528      0.0556626       0.113425       0.312667       0.213996       0.011728
        111.163       0.163751        266.791        800.372       0.962009       0.176031     0.00598442      0.0238944      0.0653759     0.00101647       0.037577      0.0558177       0.113213       0.312196       0.213018      0.0117067
        118.709       0.163581        284.902        854.705        0.96657       0.176735     0.00601877       0.024056      0.0651707     0.00102673      0.0376143      0.0559584       0.113007        0.31173       0.212111       0.011686
        126.768        0.16341        304.242        912.726       0.970838       0.177391     0.00604921      0.0242047      0.0649663     0.00103596      0.0376395       0.056084       0.112808       0.311268        0.21128      0.0116661
        135.373       0.163239        324.895        974.686       0.974796       0.177995     0.00607557      0.0243397      0.0647629     0.00104412      0.0376521      0.0561938       0.112615        0.31081       0.210526      0.0116469
        144.563       0.163068        346.951        1040.85       0.978431       0.178547     0.00609771      0.0244603      0.0645606     0.00105115       0.037652      0.0562873       0.112429       0.310358       0.209848      0.0116284
        154.376       0.162898        370.504        1111.51       0.981736       0.179045     0.00611557      0.0245661      0.0643595     0.00105705       0.037639      0.0563642       0.112249       0.309911       0.209248      0.0116108
        164.856       0.162727        395.655        1186.97       0.984709       0.179488     0.00612916       0.024657      0.0641599     0.00106179      0.0376134      0.0564247       0.112075        0.30947       0.208724      0.0115938
        176.047       0.162556        422.514        1267.54       0.987351       0.179878     0.00613852      0.0247329      0.0639616     0.00106539      0.0375752      0.0564689       0.111908       0.309034       0.208274      0.0115776
        187.998       0.162385        451.196        1353.59        0.98967       0.180215     0.00614379      0.0247943      0.0637647     0.00106787      0.0375251      0.0564972       0.111748       0.308603       0.207895      0.0115621
        200.761       0.162215        481.825        1445.48       0.991679       0.180502     0.00614514      0.0248415      0.0635692     0.00106929      0.0374636      0.0565104       0.111592       0.308177       0.207585      0.0115472
        214.389       0.162044        514.534         1543.6       0.993396       0.180742      0.0061428      0.0248755      0.0633749      0.0010697      0.0373913      0.0565094       0.111443       0.307755       0.207337       0.011533
        228.943       0.161873        549.463        1648.39       0.994839       0.180937     0.00613704      0.0248971      0.0631817     0.00106917      0.0373092      0.0564951       0.111298       0.307337       0.207149      0.0115193
        244.485       0.161702        586.763        1760.29       0.996034       0.181092     0.00612817      0.0249073      0.0629895     0.00106779      0.0372181      0.0564688       0.111157       0.306923       0.207013      0.0115061
        261.081       0.161531        626.595        1879.79       0.997007       0.181211     0.00611652      0.0249074      0.0627982     0.00106565       0.037119      0.0564316       0.111021       0.306513       0.206925      0.0114933
        278.805       0.161361        669.131        2007.39       0.997783       0.181298     0.00610244      0.0248986      0.0626074     0.00106284      0.0370129      0.0563849       0.110888       0.306104       0.206879       0.011481
        297.731        0.16119        714.555        2143.66       0.998392       0.181357     0.00608625      0.0248821      0.0624172     0.00105945      0.0369008      0.0563299       0.110757       0.305698       0.206869      0.0114689
        317.943       0.161019        763.062        2289.19       0.998858       0.181393     0.00606829      0.0248592      0.0622272     0.00105559      0.0367835      0.0562679       0.110629       0.305293       0.206889      0.0114571
        339.526       0.160848        814.862        2444.59       0.999208        0.18141     0.00604886      0.0248309      0.0620373     0.00105132      0.0366621      0.0562001       0.110503       0.304889       0.206935      0.0114456
        362.575       0.160678        870.179        2610.54       0.999464       0.181412     0.00602824      0.0247982      0.0618475     0.00104673      0.0365372      0.0561275       0.110378       0.304486          0.207      0.0114341
        387.188       0.160507        929.251        2787.75       0.999647         0.1814     0.00600667      0.0247622      0.0616574     0.00104188      0.0364096      0.0560511       0.110254       0.304082       0.207082      0.0114228
        413.472       0.160336        992.333           2977       0.999774       0.181379     0.00598436      0.0247235      0.0614672     0.00103683      0.0362798      0.0559716        0.11013       0.303679       0.207177      0.0114115
         441.54       0.160165         1059.7        3179.09       0.999859       0.181351     0.00596148      0.0246829      0.0612766     0.00103163      0.0361484      0.0558897       0.110007       0.303274       0.207281      0.0114003
        471.514       0.159995        1131.63         3394.9       0.999915       0.181317     0.00593816      0.0246408      0.0610856     0.00102631      0.0360157      0.0558059       0.109883       0.302869       0.207393       0.011389
        503.523       0.159824        1208.45        3625.36       0.999951       0.181278     0.00591451      0.0245976      0.0608942      0.0010209      0.0358821      0.0557206        0.10976       0.302463       0.207509      0.0113777
        537.704       0.159653        1290.49        3871.47       0.999972       0.181236      0.0058906      0.0245537      0.0607024     0.00101543      0.0357477      0.0556341       0.109636       0.302055        0.20763      0.0113664
        574.206       0.159482        1378.09        4134.28       0.999985       0.181192      0.0058665      0.0245091        0.06051      0.0010099      0.0356128      0.0555466       0.109511       0.301646       0.207754       0.011355
        613.186       0.159311        1471.65        4414.94       0.999992       0.181145     0.00584225      0.0244642      0.0603172     0.00100433      0.0354774      0.0554582       0.109386       0.301236        0.20788      0.0113435
        654.812       0.159141        1571.55        4714.64       0.999996       0.181097     0.00581787      0.0244189       0.060124     0.00099873      0.0353416      0.0553691        0.10926       0.300824       0.208008      0.0113319
        699.263        0.15897        1678.23         5034.7       0.999998       0.181047     0.00579338      0.0243733      0.0599303      0.0009931      0.0352055      0.0552793       0.109133        0.30041       0.208138      0.0113203
        746.732       0.158799        1792.16        5376.47       0.999999       0.180996     0.00576879      0.0243274      0.0597361    0.000987446      0.0350691      0.0551888       0.109006       0.299995       0.208269      0.0113085
        797.424       0.158628        1913.82        5741.45              1       0.180943     0.00574412      0.0242814      0.0595416    0.000981773      0.0349325      0.0550977       0.108878       0.299578       0.208401      0.0112967
        851.557       0.158458        2043.74        6131.21              1       0.180889     0.00571938      0.0242351      0.0593466    0.000976082      0.0347956      0.0550059       0.108749        0.29916       0.208534      0.0112848
        909.365       0.158287        2182.47        6547.42              1       0.180834     0.00569457      0.0241885      0.0591513    0.000970379      0.0346586      0.0549136       0.108619        0.29874       0.208667      0.0112727
        971.096       0.158116        2330.63        6991.89              1       0.180777     0.00566971      0.0241418      0.0589556    0.000964666      0.0345214      0.0548207       0.108489       0.298319       0.208802      0.0112606
        1037.02       0.157945        2488.85        7466.54              1        0.18072     0.00564479      0.0240948      0.0587596    0.000958946       0.034384      0.0547272       0.108357       0.297897       0.208937      0.0112483
        1107.42       0.157775         2657.8         7973.4              1       0.180661     0.00561984      0.0240477      0.0585632    0.000953222      0.0342464      0.0546332       0.108225       0.297473       0.209073       0.011236
        1182.59       0.157604        2838.22        8514.67              1       0.180602     0.00559485      0.0240003      0.0583666      0.0009475      0.0341088      0.0545387       0.108092       0.297047        0.20921      0.0112235
        1262.87       0.157433         3030.9        9092.69              1       0.180541     0.00556983      0.0239527      0.0581696     0.00094178       0.033971      0.0544436       0.107958       0.296621       0.209347       0.011211
         1348.6       0.157262        3236.65        9709.94              1        0.18048      0.0055448      0.0239049      0.0579724    0.000936067      0.0338331      0.0543482       0.107824       0.296193       0.209484      0.0111983
        1440.15       0.157091        3456.36        10369.1              1       0.180418     0.00551975      0.0238569      0.0577749    0.000930363      0.0336951      0.0542522       0.107688       0.295763       0.209621      0.0111856
        1537.92       0.156921           3691          11073              1       0.180355      0.0054947      0.0238087      0.0575772     0.00092467      0.0335571      0.0541559       0.107552       0.295333       0.209759      0.0111728
        1642.32        0.15675        3941.56        11824.7              1       0.180291     0.00546964      0.0237603      0.0573793    0.000918989       0.033419      0.0540591       0.107415       0.294901       0.209897      0.0111598
        1753.81       0.156579        4209.13        12627.4              1       0.180227     0.00544459      0.0237117      0.0571812    0.000913322      0.0332808      0.0539619       0.107277       0.294467       0.210035      0.0111468
        1872.86       0.156408        4494.87        13484.6              1       0.180162     0.00541954      0.0236629      0.0569829    0.000907668      0.0331427      0.0538643       0.107138       0.294033       0.210174      0.0111337
           2000       0.156238           4800          14400              1       0.180097     0.00539449      0.0236139      0.0567844    0.000902028      0.0330045      0.0537664       0.106999       0.293597       0.210313      0.0111205
